city,state,has_census_data,city_wells_0km_all,city_wells_100m_all,city_wells_1km_all
Los Angeles,CA,1,5311,6618,11503
Cleveland,OH,1,972,1193,1925
San Antonio,TX,0,849,886,888
Oklahoma City,OK,0,846,1167,1612
Erie,PA,0,396,996,1208
Canton,OH,0,209,295,514
Akron,OH,0,187,245,752
Fort Worth,TX,0,185,264,708
Saginaw,MI,0,174,225,372
Lima,OH,0,119,176,1745
Tulsa,OK,0,86,155,632
Youngstown,OH,0,78,97,270
Grand Rapids,MI,0,72,99,161
Wichita,KS,0,70,120,262
Greater Kansas City,MO,0,64,158,368
Huntington,WV,0,53,71,146
Detroit,MI,1,45,142,416
Pittsburgh,PA,1,44,66,191
Lorain,OH,0,34,38,314
Shreveport,LA,0,32,76,161
Jackson,MS,0,25,49,92
Wheeling,WV,0,18,23,47
Springfield,OH,0,18,21,21
Galveston,TX,0,16,19,19
Charleston,WV,0,13,17,46
Lower Westchester Co.,NY,0,9,20,22
Warren,OH,0,8,29,122
Buffalo,NY,0,8,29,61
Flint,MI,1,8,9,14
Omaha,NE,0,5,7,18
Stockton,CA,0,4,9,23
Portsmouth,OH,0,3,9,27
Toledo,OH,0,3,3,178
Muskegon,MI,0,2,4,120
Elmira,NY,0,1,13,21
Evansville,IN,0,1,3,85
Dayton,OH,1,1,2,23
New York City,NY,1,0,154,217
Indianapolis,IN,1,0,84,103
Bay City,MI,0,0,34,98
Terre Haute,IN,0,0,12,39
Lake Co. Gary,IN,0,0,3,15
New Orleans,LA,1,0,0,44
Lexington,KY,0,0,0,35
Columbus,OH,1,0,0,32
Port Arthur,TX,0,0,0,11